Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad;ActivePowerInjectedToGrid
25;16;45;0;190;20;0
25;17;00;0;205;20;0
25;17;15;0;215;20;0
25;17;30;0;220;19;0
25;17;45;0;215;20;0
25;18;00;0;295;10;0
25;18;15;0;360;14;0
25;18;30;0;325;19;0
25;18;45;0;335;20;0
25;19;00;0;275;20;0
25;19;15;0;195;20;0
25;19;30;0;200;20;0
25;19;45;0;175;19;0
25;20;00;0;220;20;0
25;20;15;0;305;20;0
25;20;30;0;235;21;0
25;20;45;0;235;19;0
25;21;00;0;215;11;0
25;21;15;0;210;6;0
25;21;30;0;225;8;0
25;21;45;0;230;7;0
25;22;00;0;225;6;0
25;22;15;0;345;8;0
25;22;30;0;275;18;0
25;22;45;0;265;21;0
25;23;00;0;265;21;0
25;23;15;0;210;20;0
25;23;30;0;190;20;0
25;23;45;0;220;20;0
26;00;00;0;190;21;0
26;00;15;0;160;19;0
26;00;30;0;165;22;0
26;00;45;0;125;20;0
26;01;00;0;105;19;0
26;01;15;0;110;13;0
26;01;30;0;100;8;0
26;01;45;0;105;7;0
26;02;00;0;95;6;0
26;02;15;0;60;7;0
26;02;30;0;50;7;0
26;02;45;0;60;7;0
26;03;00;0;145;7;0
26;03;15;0;100;16;0
26;03;30;0;140;21;0
26;03;45;0;120;19;0
26;04;00;0;75;19;0
26;04;15;0;70;21;0
26;04;30;0;60;19;0
26;04;45;0;60;20;0
26;05;00;0;70;19;0
26;05;15;0;70;21;0
26;05;30;0;80;20;0
26;05;45;0;85;19;0
26;06;00;0;55;8;0
26;06;15;0;105;7;0
26;06;30;0;180;7;0
26;06;45;0;120;13;0
26;07;00;0;130;20;0
26;07;15;0;135;18;0
26;07;30;0;105;20;0
26;07;45;0;65;19;0
26;08;00;0;95;20;0
26;08;15;0;100;20;0
26;08;30;0;125;21;0
26;08;45;0;190;20;0
26;09;00;0;115;19;0
26;09;15;0;220;20;0
26;09;30;0;140;19;0
26;09;45;12;170;19;0
26;10;00;0;120;19;0
26;10;15;20;105;19;0
26;10;30;19;90;19;0
26;10;45;20;115;20;0
26;11;00;31;100;18;0
26;11;15;29;90;19;0
26;11;30;30;90;20;0
26;11;45;31;85;18;0
26;12;00;39;75;15;0
26;12;15;31;80;7;0
26;12;30;39;80;7;0
26;12;45;41;200;7;0
26;13;00;34;655;15;0
26;13;15;25;155;20;0
26;13;30;36;255;19;0
26;13;45;34;175;20;0
26;14;00;29;170;21;0
26;14;15;32;390;20;0
26;14;30;39;155;20;0
26;14;45;41;135;19;0
26;15;00;29;440;20;0
26;15;15;29;140;19;0
26;15;30;12;130;21;0
26;15;45;10;135;11;0
26;16;00;0;145;7;0
26;16;15;0;240;8;0
26;16;30;0;215;20;0
26;16;45;0;205;19;0
26;17;00;0;245;21;0
26;17;15;0;220;21;0
26;17;30;0;220;18;0
26;17;45;0;215;21;0
26;18;00;0;220;18;0
26;18;15;0;160;20;0
26;18;30;0;150;19;0
26;18;45;0;140;20;0
26;19;00;0;130;19;0
26;19;15;0;130;8;0
26;19;30;0;155;7;0
26;19;45;0;245;11;0
26;20;00;0;170;21;0
26;20;15;0;190;20;0
26;20;30;0;160;21;0
26;20;45;0;130;19;0
26;21;00;0;155;20;0
26;21;15;0;145;19;0
26;21;30;0;140;21;0
26;21;45;0;160;20;0
26;22;00;0;150;19;0
26;22;15;0;150;17;0
26;22;30;0;200;7;0
26;22;45;0;190;7;0
26;23;00;0;165;8;0
26;23;15;0;255;7;0
26;23;30;0;180;19;0
26;23;45;0;190;21;0
27;00;00;0;200;19;0
27;00;15;0;150;20;0
27;00;30;0;170;21;0
27;00;45;0;200;19;0
27;01;00;0;185;20;0
27;01;15;0;140;21;0
27;01;30;0;125;20;0
27;01;45;0;105;20;0
27;02;00;0;105;20;0
27;02;15;0;115;13;0
27;02;30;0;100;6;0
27;02;45;0;105;7;0
27;03;00;0;95;7;0
27;03;15;0;185;7;0
27;03;30;0;110;19;0
27;03;45;0;115;19;0
27;04;00;0;115;21;0
27;04;15;0;90;19;0
27;04;30;0;65;20;0
27;04;45;0;55;20;0
27;05;00;0;70;19;0
27;05;15;0;65;21;0
27;05;30;0;120;21;0
27;05;45;0;140;19;0
27;06;00;0;100;17;0
27;06;15;0;85;8;0
27;06;30;0;190;12;0
27;06;45;0;110;19;0
27;07;00;0;110;20;0
27;07;15;0;115;19;0
27;07;30;0;80;20;0
27;07;45;0;75;18;0
27;08;00;0;75;18;0
27;08;15;0;85;20;0
27;08;30;0;110;22;0
27;08;45;0;210;19;0
27;09;00;10;180;19;0
27;09;15;14;150;19;0
27;09;30;25;150;20;0
27;09;45;21;110;18;0
27;10;00;39;100;20;0
27;10;15;66;110;19;0
27;10;30;75;90;20;0
27;10;45;114;100;19;0
27;11;00;160;110;21;0
27;11;15;190;80;19;0
27;11;30;350;85;20;0
27;11;45;420;75;7;0
27;12;00;470;190;11;0
27;12;15;556;160;35;0
27;12;30;644;160;35;0
27;12;45;721;110;30;0
27;13;00;835;95;33;0
27;13;15;949;495;32;0
27;13;30;1080;380;31;0
27;13;45;1216;175;34;0
27;14;00;1234;175;29;0
27;14;15;1205;140;33;0
27;14;30;1146;140;26;0
27;14;45;1095;140;30;0
27;15;00;995;120;10;0
27;15;15;844;130;7;0
27;15;30;826;140;7;0
27;15;45;644;130;7;0
27;16;00;175;135;7;0
27;16;15;31;155;7;0
27;16;30;10;120;7;0
27;16;45;10;140;7;0
