Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad
11;05;30;0;101;330
11;05;45;0;119;920
11;06;00;0;109;419
11;06;15;0;112;812
11;06;30;0;99;309
11;06;45;0;130;691
11;07;00;0;130;469
11;07;15;0;189;616
11;07;30;0;112;303
11;07;45;0;119;652
11;08;00;0;90;454
11;08;15;0;94;96
11;08;30;0;141;489
11;08;45;0;221;609
11;09;00;0;134;271
11;09;15;0;170;899
11;09;30;0;89;511
11;09;45;0;107;140
11;10;00;6.000000001;63;0
11;10;15;14;102;320
11;10;30;11;80;189
11;10;45;0;95;0
11;11;00;12;75;0
11;11;15;7.999999998;519;700
11;11;30;0;365;562
11;11;45;12;631;269
11;12;00;6.999999998;334;71
11;12;15;12;115;0
11;12;30;0;111;0
11;12;45;8.000000002;100;0
11;13;00;0;160;768
11;13;15;12;124;40
11;13;30;8.000000002;140;191
11;13;45;11;180;1046
11;14;00;31;160;773
11;14;15;7.999999998;119;101
11;14;30;20;141;370
11;14;45;0;109;101
11;15;00;0;141;848
11;15;15;0;70;12
11;15;30;0;100;399
11;15;45;0;100;550
11;16;00;0;85;0
11;16;15;0;121;880
11;16;30;0;94;69
11;16;45;0;110;421
11;17;00;0;136;329
11;17;15;0;133;561
11;17;30;0;121;0
11;17;45;0;120;0
11;18;00;0;270;0
11;18;15;0;110;10
11;18;30;0;161;710
11;18;45;0;150;919
11;19;00;0;148;466
11;19;15;0;161;925
11;19;30;0;169;239
11;19;45;0;447;441
11;20;00;0;204;170
11;20;15;0;180;491
11;20;30;0;180;300
11;20;45;0;191;438
11;21;00;0;154;141
11;21;15;0;185;445
11;21;30;0;166;141
11;21;45;0;155;135
11;22;00;0;170;419
11;22;15;0;138;20
11;22;30;0;141;354
11;22;45;0;150;216
11;23;00;0;110;190
11;23;15;0;90;40
11;23;30;0;94;350
11;23;45;0;80;0
12;00;00;0;71;10
12;00;15;0;75;0
12;00;30;0;70;0
12;00;45;0;90;10
12;01;00;0;80;70
12;01;15;0;105;330
12;01;30;0;65;0
12;01;45;0;105;369
12;02;00;0;70;10
12;02;15;0;99;196
12;02;30;0;90;195
12;02;45;0;80;0
12;03;00;0;107;510
12;03;15;0;85;0
12;03;30;0;95;430
12;03;45;0;89;11
12;04;00;0;100;260
12;04;15;0;85;64
12;04;30;0;95;324
12;04;45;0;110;586
12;05;00;0;120;906
12;05;15;0;110;548
12;05;30;0;140;1032
12;05;45;0;119;888
12;06;00;0;121;511
12;06;15;0;120;190
12;06;30;0;150;630
12;06;45;0;170;390
12;07;00;0;189;885
12;07;15;0;91;24
12;07;30;0;120;761
12;07;45;0;119;489
12;08;00;0;170;242
12;08;15;0;151;829
12;08;30;0;140;304
12;08;45;0;285;147
12;09;00;12;584;709
12;09;15;19;131;360
12;09;30;20;156;400
12;09;45;39;124;540
12;10;00;50;215;260
12;10;15;63;110;330
12;10;30;103;115;380
12;10;45;116;101;419
12;11;00;144;599;341
12;11;15;174;321;470
12;11;30;176;119;30
12;11;45;170;121;489
12;12;00;170;109;0
12;12;15;175;80;0
12;12;30;200;119;12
12;12;45;175;117;0
12;13;00;100;124;739
12;13;15;131;111;345
12;13;30;170;624;695
12;13;45;139;345;20
12;14;00;107;150;889
12;14;15;94;205;201
12;14;30;99;225;429
12;14;45;65;211;271
12;15;00;51;90;309
12;15;15;31;124;291
12;15;30;19;126;180
12;15;45;8.000000002;160;891
12;16;00;12;474;10
12;16;15;0;325;764
12;16;30;0;170;925
12;16;45;0;140;455
12;17;00;0;120;199
12;17;15;0;130;545
12;17;30;0;80;0
12;17;45;0;90;0
12;18;00;0;80;0
12;18;15;0;80;12
12;18;30;0;146;720
12;18;45;0;214;419
12;19;00;0;225;360
12;19;15;0;325;739
12;19;30;0;115;11
12;19;45;0;140;520
